site,name,day,total rainfall (mm),latitude,longitude
TA00113,NKWANTA SHS,2018-05-17,3.37,8.2711238,0.5152645
TA00113,NKWANTA SHS,2018-05-18,0.04,8.2711238,0.5152645
TA00113,NKWANTA SHS,2018-05-19,0,8.2711238,0.5152645
TA00114,BUEMAN SHS,2018-05-15,0.24,7.4220573,0.4625504
TA00114,BUEMAN SHS,2018-05-16,0,7.4220573,0.4625504
TA00114,BUEMAN SHS,2018-05-17,0.14,7.4220573,0.4625504
TA00114,BUEMAN SHS,2018-05-18,0.06,7.4220573,0.4625504
TA00114,BUEMAN SHS,2018-05-19,0,7.4220573,0.4625504
TA00115,KPEVE SENIOR HIGH TECH.,2018-05-15,0,6.6764708,0.3277943
TA00115,KPEVE SENIOR HIGH TECH.,2018-05-16,23.54,6.6764708,0.3277943
TA00115,KPEVE SENIOR HIGH TECH.,2018-05-17,0.97,6.6764708,0.3277943
TA00115,KPEVE SENIOR HIGH TECH.,2018-05-18,0.08,6.6764708,0.3277943
TA00115,KPEVE SENIOR HIGH TECH.,2018-05-19,0.02,6.6764708,0.3277943
TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-15,0,6.8458153,0.4406979
TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-16,2.66,6.8458153,0.4406979
TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-17,1.81,6.8458153,0.4406979
TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-18,0.61,6.8458153,0.4406979
TA00116,AMEDZOFE TECHNICAL INSTITUTE,2018-05-19,0,6.8458153,0.4406979
TA00117,KETA SHS,2018-05-15,0,5.8950832,0.9895673
TA00117,KETA SHS,2018-05-16,0,5.8950832,0.9895673
TA00117,KETA SHS,2018-05-17,16.7,5.8950832,0.9895673
TA00117,KETA SHS,2018-05-18,0,5.8950832,0.9895673
TA00117,KETA SHS,2018-05-19,0,5.8950832,0.9895673
TA00118,TEMA SECONDARY SCHOOL,2018-05-15,0,5.6414133,-0.0118703
TA00118,TEMA SECONDARY SCHOOL,2018-05-16,0,5.6414133,-0.0118703
TA00118,TEMA SECONDARY SCHOOL,2018-05-17,1.07,5.6414133,-0.0118703
TA00118,TEMA SECONDARY SCHOOL,2018-05-18,0.02,5.6414133,-0.0118703
TA00118,TEMA SECONDARY SCHOOL,2018-05-19,0,5.6414133,-0.0118703
TA00119,ELUBO,2018-05-15,2.13,5.1611293,-2.6414389
TA00119,ELUBO,2018-05-16,0,5.1611293,-2.6414389
TA00119,ELUBO,2018-05-17,0,5.1611293,-2.6414389
TA00119,ELUBO,2018-05-18,0,5.1611293,-2.6414389
TA00119,ELUBO,2018-05-19,0,5.1611293,-2.6414389
TA00120,Nkroful Agric SHS,2018-05-15,0,4.9718609,-2.322676
TA00120,Nkroful Agric SHS,2018-05-16,0,4.9718609,-2.322676
TA00120,Nkroful Agric SHS,2018-05-17,0,4.9718609,-2.322676
TA00120,Nkroful Agric SHS,2018-05-18,0,4.9718609,-2.322676
TA00120,Nkroful Agric SHS,2018-05-19,0,4.9718609,-2.322676
TA00121,Half Assini SHS,2018-05-15,4.31,5.0532069,-2.8772937
TA00121,Half Assini SHS,2018-05-16,8.53,5.0532069,-2.8772937
TA00121,Half Assini SHS,2018-05-17,10.25,5.0532069,-2.8772937
TA00121,Half Assini SHS,2018-05-18,0.06,5.0532069,-2.8772937
TA00121,Half Assini SHS,2018-05-19,0,5.0532069,-2.8772937
TA00122,Amenfiman SHS,2018-05-15,0.78,5.7786387,-2.090195
TA00122,Amenfiman SHS,2018-05-16,0.86,5.7786387,-2.090195
TA00122,Amenfiman SHS,2018-05-17,4.28,5.7786387,-2.090195
