,site,name,day,total rainfall (mm),latitude,longitude
117,TA00047,"Bodwesango Senior High School, Bodwesango",2018-05-17,2.39,6.283841667,-1.417355556
118,TA00047,"Bodwesango Senior High School, Bodwesango",2018-05-18,0.06,6.283841667,-1.417355556
119,TA00047,"Bodwesango Senior High School, Bodwesango",2018-05-19,0.06,6.283841667,-1.417355556
120,TA00048,Asante Akyem Technology Institute,2018-05-15,0,6.653675,-1.166888889
121,TA00048,Asante Akyem Technology Institute,2018-05-16,0,6.653675,-1.166888889
122,TA00048,Asante Akyem Technology Institute,2018-05-17,0,6.653675,-1.166888889
123,TA00048,Asante Akyem Technology Institute,2018-05-18,0,6.653675,-1.166888889
124,TA00048,Asante Akyem Technology Institute,2018-05-19,0,6.653675,-1.166888889
125,TA00049,Ofoase Senior HTS,2018-05-15,0,6.396666667,-1.282597222
126,TA00049,Ofoase Senior HTS,2018-05-16,1.12,6.396666667,-1.282597222
127,TA00049,Ofoase Senior HTS,2018-05-17,1.07,6.396666667,-1.282597222
128,TA00049,Ofoase Senior HTS,2018-05-18,0.06,6.396666667,-1.282597222
129,TA00049,Ofoase Senior HTS,2018-05-19,0,6.396666667,-1.282597222
130,TA00050,"Bompata Presby SHS, Bompata",2018-05-15,0,6.619158333,-1.052630556
131,TA00050,"Bompata Presby SHS, Bompata",2018-05-16,1.08,6.619158333,-1.052630556
132,TA00050,"Bompata Presby SHS, Bompata",2018-05-17,1.07,6.619158333,-1.052630556
133,TA00050,"Bompata Presby SHS, Bompata",2018-05-18,4.46,6.619158333,-1.052630556
134,TA00050,"Bompata Presby SHS, Bompata",2018-05-19,0.06,6.619158333,-1.052630556
135,TA00098,GMet HQ,2018-05-15,0,5.6511025,-0.1645213
136,TA00098,GMet HQ,2018-05-16,0,5.6511025,-0.1645213
137,TA00098,GMet HQ,2018-05-17,33.39,5.6511025,-0.1645213
138,TA00098,GMet HQ,2018-05-18,0.02,5.6511025,-0.1645213
139,TA00098,GMet HQ,2018-05-19,0.02,5.6511025,-0.1645213
140,TA00109,BREMAN ASIKUMA SHS,2018-05-15,0.05,5.5926509,-0.9964172
141,TA00109,BREMAN ASIKUMA SHS,2018-05-16,0.43,5.5926509,-0.9964172
